# Метеостанция Нижний Новгород, Россия, WMO_ID=27459, выборка с 01.01.2022 по 01.06.2022, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27459&lang=ru
#
"Местное время в Нижнем Новгороде";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"19.04.2022 03:00";"2.1";"751.4";"766.1";"-0.2";"86";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-0.1";"";"";"";"";"";"";
"19.04.2022 00:00";"3.2";"751.6";"766.3";"0.3";"80";"Ветер, дующий с востока";"1";"3";"3";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"0.0";"";"";"";"";"";"";
"18.04.2022 21:00";"4.0";"751.3";"766.0";"0.6";"77";"Ветер, дующий с юго-востока";"1";"2";"4";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"0.3";"";"";"";"";"";"";
"18.04.2022 18:00";"6.6";"750.7";"765.2";"-0.1";"66";"Ветер, дующий с юго-востока";"1";"3";"5";"100%.";" ";"";"";"";"8.7";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"10.0";"0.6";"Осадков нет";"12";"";"";"";"";
"18.04.2022 15:00";"8.4";"750.8";"765.2";"-0.4";"46";"Ветер, дующий с востоко-северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-2.8";"";"";"";"";"";"";
"18.04.2022 12:00";"6.2";"751.2";"765.7";"-0.1";"51";"Ветер, дующий с востока";"2";"4";"6";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"-3.4";"";"";"";"";"";"";
"18.04.2022 09:00";"3.1";"751.3";"766.0";"0.1";"63";"Ветер, дующий с востока";"3";"6";"6";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-3.4";"";"";"";"";"";"";
"18.04.2022 06:00";"-0.6";"751.2";"766.1";"0.1";"81";"Ветер, дующий с северо-востока";"2";"";"";"70 – 80%.";" ";"";"";"-1.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-3.5";"Осадков нет";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.";"5.0";
"18.04.2022 03:00";"-0.6";"751.1";"766.0";"-0.4";"83";"Ветер, дующий с северо-северо-востока";"1";"3";"5";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-3.2";"";"";"";"";"";"";
"18.04.2022 00:00";"0.9";"751.5";"766.3";"-0.4";"80";"Ветер, дующий с северо-востока";"1";"";"5";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-2.2";"";"";"";"";"";"";
"17.04.2022 21:00";"1.2";"751.9";"766.7";"0.3";"82";"Ветер, дующий с востоко-северо-востока";"1";"3";"5";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-1.5";"";"";"";"";"";"";
"17.04.2022 18:00";"1.5";"751.6";"766.3";"0.0";"82";"Ветер, дующий с востоко-северо-востока";"2";"5";"8";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"1.8";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-1.2";"Следы осадков";"12";"";"";"";"";
"17.04.2022 15:00";"1.2";"751.6";"766.5";"0.3";"83";"Ветер, дующий с северо-востока";"3";"6";"9";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-1.4";"";"";"";"";"";"";
"17.04.2022 12:00";"0.5";"751.3";"766.1";"0.6";"99";"Ветер, дующий с северо-востока";"2";"6";"9";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"0.3";"";"";"";"";"";"";
"17.04.2022 09:00";"-0.4";"750.7";"765.6";"0.9";"100";"Ветер, дующий с северо-востока";"3";"7";"9";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-0.4";"";"";"";"";"";"";
"17.04.2022 06:00";"-1.4";"749.8";"764.7";"0.4";"100";"Ветер, дующий с северо-востока";"3";"7";"12";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-1.5";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-1.4";"9.0";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"7.0";
"17.04.2022 03:00";"-1.4";"749.4";"764.3";"0.2";"100";"Ветер, дующий с северо-востока";"4";"9";"12";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-1.4";"";"";"";"";"";"";
"17.04.2022 00:00";"-0.5";"749.2";"764.0";"0.1";"100";"Ветер, дующий с востоко-северо-востока";"5";"11";"11";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"1.0";"-0.5";"";"";"";"";"";"";
"16.04.2022 21:00";"0.0";"749.1";"763.9";"0.3";"99";"Ветер, дующий с востоко-северо-востока";"5";"11";"11";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"1.0";"-0.2";"";"";"";"";"";"";
"16.04.2022 18:00";"0.4";"748.8";"763.6";"0.0";"96";"Ветер, дующий с востоко-северо-востока";"3";"6";"8";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Ливень (ливни).";"Дождь со снегом или другими видами твердых осадков";"";"3.6";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-0.2";"9.0";"12";"";"";"";"";
"16.04.2022 15:00";"1.7";"748.8";"763.6";"0.1";"89";"Ветер, дующий с востока";"3";"6";"8";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"0.1";"";"";"";"";"";"";
"16.04.2022 12:00";"3.0";"748.7";"763.3";"-0.2";"72";"Ветер, дующий с востоко-северо-востока";"4";"7";"7";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"10.0";"-1.6";"";"";"";"";"";"";
"16.04.2022 09:00";"1.8";"748.9";"763.6";"0.8";"66";"Ветер, дующий с востока";"2";"4";"6";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-3.9";"";"";"";"";"";"";
"16.04.2022 06:00";"0.1";"748.1";"763.0";"0.7";"73";"Ветер, дующий с востоко-северо-востока";"1";"3";"";"70 – 80%.";" ";"";"";"-0.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-4.2";"Осадков нет";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.";"Снежный покров не постоянный.";
"16.04.2022 03:00";"-0.5";"747.4";"762.2";"0.6";"61";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-7.1";"";"";"";"";"";"";
"16.04.2022 00:00";"0.9";"746.8";"761.6";"0.3";"62";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-5.6";"";"";"";"";"";"";
"15.04.2022 21:00";"4.9";"746.5";"761.0";"1.3";"43";"Ветер, дующий с северо-запада";"1";"2";"7";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-6.9";"";"";"";"";"";"";
"15.04.2022 18:00";"8.0";"745.2";"759.6";"0.8";"31";"Ветер, дующий с северо-северо-запада";"2";"7";"12";"20–30%.";" ";"";"";"";"8.7";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-8.1";"Осадков нет";"12";"";"";"";"";
"15.04.2022 15:00";"8.5";"744.4";"758.8";"0.5";"33";"Ветер, дующий с северо-запада";"3";"8";"12";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-7.1";"";"";"";"";"";"";
"15.04.2022 12:00";"7.4";"743.9";"758.2";"0.3";"42";"Ветер, дующий с северо-запада";"3";"8";"10";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-4.8";"";"";"";"";"";"";
"15.04.2022 09:00";"3.3";"743.6";"758.2";"0.0";"57";"Ветер, дующий с северо-запада";"3";"7";"9";"70 – 80%.";" ";"";"";"1.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-4.5";"";"";"";"";"";"";
"15.04.2022 06:00";"1.2";"743.6";"758.3";"-0.8";"65";"Ветер, дующий с северо-запада";"3";"6";"8";"70 – 80%.";" ";"";"";"1.2";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-4.7";"Осадков нет";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.";"Снежный покров не постоянный.";
"15.04.2022 03:00";"3.2";"744.4";"759.0";"-0.5";"55";"Ветер, дующий с севера";"4";"8";"8";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-5.1";"";"";"";"";"";"";
"15.04.2022 00:00";"5.9";"744.9";"759.3";"-1.3";"48";"Ветер, дующий с севера";"2";"5";"7";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-4.4";"";"";"";"";"";"";
"14.04.2022 21:00";"7.8";"746.2";"760.6";"-0.5";"53";"Ветер, дующий с севера";"2";"4";"7";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-1.3";"";"";"";"";"";"";
"14.04.2022 18:00";"8.3";"746.7";"761.0";"-0.2";"51";"Ветер, дующий с севера";"3";"7";"9";"100%.";" ";"";"";"";"9.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"-1.4";"Осадков нет";"12";"";"";"";"";
"14.04.2022 15:00";"7.5";"746.9";"761.3";"-0.6";"60";"Ветер, дующий с севера";"4";"7";"9";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.1";"";"";"";"";"";"";
"14.04.2022 12:00";"6.0";"747.5";"762.0";"0.0";"66";"Ветер, дующий с севера";"3";"7";"8";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.1";"";"";"";"";"";"";
"14.04.2022 09:00";"4.2";"747.5";"762.1";"1.0";"77";"Ветер, дующий с северо-северо-востока";"3";"8";"8";"100%.";" ";"";"";"3.7";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"0.4";"";"";"";"";"";"";
"14.04.2022 06:00";"4.0";"746.5";"761.0";"0.3";"83";"Ветер, дующий с севера";"2";"8";"8";"100%.";" ";"";"";"4.0";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"1.4";"Осадков нет";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.";"Снежный покров не постоянный.";
"14.04.2022 03:00";"4.5";"746.2";"760.8";"0.3";"87";"Ветер, дующий с севера";"3";"5";"8";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"10.0";"2.5";"";"";"";"";"";"";
"14.04.2022 00:00";"5.4";"745.9";"760.4";"0.2";"86";"Ветер, дующий с северо-запада";"2";"5";"6";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"3.2";"";"";"";"";"";"";
"13.04.2022 21:00";"12.2";"745.7";"759.8";"0.8";"60";"Ветер, дующий с западо-северо-запада";"1";"3";"4";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"4.7";"";"";"";"";"";"";
"13.04.2022 18:00";"16.2";"744.9";"758.8";"-0.1";"41";"Ветер, дующий с востоко-северо-востока";"2";"3";"";"70 – 80%.";" ";"";"";"";"17.6";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"2.9";"Осадков нет";"12";"";"";"";"";
"13.04.2022 15:00";"16.7";"745.0";"758.8";"-0.6";"41";"Ветер, дующий с юго-востока";"1";"3";"5";"70 – 80%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"3.3";"";"";"";"";"";"";
"13.04.2022 12:00";"15.0";"745.6";"759.6";"-0.3";"51";"Ветер, дующий с северо-северо-востока";"1";"4";"5";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"4.8";"";"";"";"";"";"";
"13.04.2022 09:00";"11.6";"745.9";"760.1";"0.3";"60";"Ветер, дующий с востоко-северо-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"4.1";"";"";"";"";"";"";
"13.04.2022 06:00";"6.0";"745.6";"760.0";"0.0";"85";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"5.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"3.7";"Осадков нет";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.";"Снежный покров не постоянный.";
"13.04.2022 03:00";"8.7";"745.6";"759.9";"-0.3";"81";"Ветер, дующий с востоко-юго-востока";"2";"3";"4";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"5.6";"";"";"";"";"";"";
"13.04.2022 00:00";"11.7";"745.9";"760.1";"0.0";"71";"Ветер, дующий с востока";"2";"3";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"6.5";"";"";"";"";"";"";
"12.04.2022 21:00";"13.6";"745.9";"760.0";"0.5";"62";"Ветер, дующий с востока";"2";"4";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"6.3";"";"";"";"";"";"";
"12.04.2022 18:00";"15.8";"745.4";"759.4";"0.1";"52";"Ветер, дующий с востоко-юго-востока";"2";"5";"8";"100%.";" ";"";"";"";"17.7";"Слоисто-кучевые, образовавшиеся из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"6.0";"Осадков нет";"12";"";"";"";"";
"12.04.2022 15:00";"17.2";"745.3";"759.1";"-0.2";"50";"Ветер, дующий с востока";"4";"7";"8";"70 – 80%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"6.5";"";"";"";"";"";"";
"12.04.2022 12:00";"16.1";"745.5";"759.4";"-0.2";"58";"Ветер, дующий с востока";"3";"7";"7";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"7.7";"";"";"";"";"";"";
"12.04.2022 09:00";"12.2";"745.7";"759.8";"0.3";"70";"Ветер, дующий с юго-юго-востока";"2";"4";"4";"50%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"6.8";"";"";"";"";"";"";
"12.04.2022 06:00";"7.3";"745.4";"759.7";"0.1";"92";"Ветер, дующий с юго-востока";"1";"2";"3";"50%.";" ";"";"";"7.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"6.0";"Осадков нет";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.";"1.0";
"12.04.2022 03:00";"8.0";"745.3";"759.6";"0.0";"87";"Ветер, дующий с юго-востока";"1";"2";"4";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"6.0";"";"";"";"";"";"";
"12.04.2022 00:00";"10.0";"745.3";"759.5";"0.5";"80";"Ветер, дующий с юго-востока";"2";"3";"4";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"6.6";"";"";"";"";"";"";
"11.04.2022 21:00";"12.2";"744.8";"758.9";"0.5";"71";"Ветер, дующий с востоко-юго-востока";"2";"4";"7";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"7.1";"";"";"";"";"";"";
"11.04.2022 18:00";"14.8";"744.3";"758.2";"-0.3";"61";"Ветер, дующий с востока";"3";"6";"7";"70 – 80%.";" ";"";"";"";"15.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"7.2";"Следы осадков";"12";"";"";"";"";
"11.04.2022 15:00";"13.2";"744.6";"758.6";"-0.4";"70";"Ветер, дующий с востока";"3";"";"6";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"7.7";"";"";"";"";"";"";
